Keyword;Tablica;Typ frazy;Intent;Traffic proxy (1-10);Commercial (1-10);Product value (1-10);Seasonality (1-5);Priority score;Priorytet;Pinterest search URL;Evidence/source;Brand;Creative System;Default Layout Set;Recommended Pin Structures;Color Palette
organizacja garażu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20gara%C5%BCu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja piwnicy;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20piwnicy;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja pawlacza;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20pawlacza;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szuflad;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20szuflad;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja półek;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20p%C3%B3%C5%82ek;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja komody;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20komody;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szafek;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20szafek;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja rzeczy sezonowych;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20rzeczy%20sezonowych;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja dokumentów w domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20dokument%C3%B3w%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja papierów;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20papier%C3%B3w;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja kabli w domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20kabli%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja zabawek;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20zabawek;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu z dziećmi;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20z%20dzie%C4%87mi;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja domu dla rodziny;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=organizacja%20domu%20dla%20rodziny;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja małej przestrzeni;Organizacja domu;Core;Informacyjna;10;9;7;3;8.25;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20ma%C5%82ej%20przestrzeni;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
porządek w domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=porz%C4%85dek%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
jak utrzymać porządek w domu;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=jak%20utrzyma%C4%87%20porz%C4%85dek%20w%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
rutyna organizacji domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=rutyna%20organizacji%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
weekend reset domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=weekend%20reset%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
home reset po polsku;Organizacja domu;Long-tail;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=home%20reset%20po%20polsku;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
metamorfoza organizacji domu;Organizacja domu;Core;Informacyjna;9;9;7;3;7.9;P3;https://pl.pinterest.com/search/pins/?q=metamorfoza%20organizacji%20domu;https://pl.pinterest.com/poludnica1/organizacja-domu/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja kuchni;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja małej kuchni;Organizacja kuchni;Core;Informacyjna;10;10;8;3;8.8;P1;https://pl.pinterest.com/search/pins/?q=organizacja%20ma%C5%82ej%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szafek kuchennych;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20szafek%20kuchennych;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szuflad kuchennych;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20szuflad%20kuchennych;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja blatu kuchennego;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20blatu%20kuchennego;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja spiżarni w kuchni;Organizacja kuchni;Long-tail;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20spi%C5%BCarni%20w%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja lodówki;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20lod%C3%B3wki;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja zamrażarki;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20zamra%C5%BCarki;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja przypraw;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20przypraw;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja garnków;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20garnk%C3%B3w;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja pokrywek;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20pokrywek;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja patelni;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20patelni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja desek do krojenia;Organizacja kuchni;Long-tail;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20desek%20do%20krojenia;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja kubków;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20kubk%C3%B3w;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja talerzy;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20talerzy;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja sztućców;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20sztu%C4%87c%C3%B3w;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja produktów spożywczych;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20produkt%C3%B3w%20spo%C5%BCywczych;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szafki pod zlewem;Organizacja kuchni;Long-tail;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20szafki%20pod%20zlewem;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja szafki narożnej;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20szafki%20naro%C5%BCnej;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja wysokiej szafki kuchennej;Organizacja kuchni;Long-tail;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=organizacja%20wysokiej%20szafki%20kuchennej;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja małej szafki kuchennej;Organizacja kuchni;Long-tail;Informacyjna;10;10;8;3;8.8;P1;https://pl.pinterest.com/search/pins/?q=organizacja%20ma%C5%82ej%20szafki%20kuchennej;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
pomysły na organizację kuchni;Organizacja kuchni;Long-tail;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=pomys%C5%82y%20na%20organizacj%C4%99%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
kuchnia organizacja inspiracje;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=kuchnia%20organizacja%20inspiracje;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizacja kuchni małym kosztem;Organizacja kuchni;Long-tail;Informacyjna;10;10;8;3;8.8;P1;https://pl.pinterest.com/search/pins/?q=organizacja%20kuchni%20ma%C5%82ym%20kosztem;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
jak uporządkować kuchnię;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=jak%20uporz%C4%85dkowa%C4%87%20kuchni%C4%99;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
jak zorganizować kuchnię;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=jak%20zorganizowa%C4%87%20kuchni%C4%99;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizery do kuchni;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=organizery%20do%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
pojemniki do kuchni;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=pojemniki%20do%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
półki do szafek kuchennych;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=p%C3%B3%C5%82ki%20do%20szafek%20kuchennych;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
koszyki do kuchni;Organizacja kuchni;Core;Informacyjna;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=koszyki%20do%20kuchni;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
stojak na pokrywki;Organizacja kuchni;Core;Hybrydowa;9;10;8;3;8.45;P2;https://pl.pinterest.com/search/pins/?q=stojak%20na%20pokrywki;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizer na przyprawy;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=organizer%20na%20przyprawy;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizer do szuflady kuchennej;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=organizer%20do%20szuflady%20kuchennej;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
organizer pod zlew;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=organizer%20pod%20zlew;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
pojemniki na żywność;Organizacja kuchni;Long-tail;Komercyjna;9;10;9;3;8.7;P2;https://pl.pinterest.com/search/pins/?q=pojemniki%20na%20%C5%BCywno%C5%9B%C4%87;https://pl.pinterest.com/ewa0635/organizacja-kuchni/;DOMOWY RESET;Clean editorial;L01,L02,L06;LISTA,PROBLEM,PRODUCT;#F6F1E8/#20201E/#D85C4A
